framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-rabbitmq-ack/pom.xml,2.0.6.RELEASE,,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/console/pom.xml,2.1.1.RELEASE,,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,,,,,,
Spring,yu199195/myth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yu199195/myth/myth-demo/pom.xml,2.1.1.RELEASE,,,,,,
Spring,cheese10yun/spring-guide,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/cheese10yun/spring-guide/pom.xml,2.1.2.RELEASE,,,,,,
Spring,naturalprogrammer/spring-lemon,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/naturalprogrammer/spring-lemon/pom.xml,2.1.2.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/miaosha-2version/pom.xml,2.1.2.RELEASE,,,,,,
Spring,OysterQAQ/Pixiv-Illustration-Collection,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/OysterQAQ/Pixiv-Illustration-Collection/pom.xml,2.1.3.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot2-docker/pom.xml,2.1.3.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot2-elasticsearch/pom.xml,2.1.3.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot2-webflux/pom.xml,2.1.3.RELEASE,,,,,,
Spring,eclipse/hono,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/eclipse/hono/pom.xml,2.1.5.RELEASE,,,,,,
Spring,shzlw/poli,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/shzlw/poli/pom.xml,2.1.5.RELEASE,,,,,,
Spring,jhipster/jhipster,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jhipster/jhipster/pom.xml,2.1.6.RELEASE,,,,,,
Spring,spring-guides/gs-uploading-files,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-guides/gs-uploading-files/complete/pom.xml,2.1.6.RELEASE,,,,,,
Spring,spring-guides/gs-uploading-files,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-guides/gs-uploading-files/initial/pom.xml,2.1.6.RELEASE,,,,,,
Spring,spring-cloud/spring-cloud-sleuth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-cloud/spring-cloud-sleuth/spring-cloud-sleuth-core/pom.xml,2.2.0.RELEASE,,,,,,
