framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,payatu/diva-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/payatu/diva-android/build.gradle,information not found,information not found,information not found
Android,payatu/diva-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/payatu/diva-android/app/build.gradle,15,23,23
Android,requery/sqlite-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/requery/sqlite-android/build.gradle,information not found,information not found,information not found
Android,requery/sqlite-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/requery/sqlite-android/sqlite-android/build.gradle,14,,28
Android,uber/rave,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/uber/rave/build.gradle,information not found,information not found,information not found
Android,uber/rave,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/uber/rave/rave-compiler/build.gradle,information not found,information not found,information not found
Android,uber/rave,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/uber/rave/rave-test/build.gradle,information not found,information not found,information not found
Android,uber/rave,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/uber/rave/sample/build.gradle,15,28,28
Android,uber/rave,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/uber/rave/rave/build.gradle,information not found,information not found,information not found
Android,tarek360/RichPath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tarek360/RichPath/build.gradle,14,25,26
Android,tarek360/RichPath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tarek360/RichPath/richpath/build.gradle,rootProject.ext.minSdkVersion,rootProject.ext.targetSdkVersion,rootProject.ext.compileSdkVersion
Android,tarek360/RichPath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tarek360/RichPath/app/build.gradle,rootProject.ext.minSdkVersion,rootProject.ext.targetSdkVersion,rootProject.ext.compileSdkVersion
Android,tarek360/RichPath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tarek360/RichPath/animator/build.gradle,rootProject.ext.minSdkVersion,rootProject.ext.targetSdkVersion,rootProject.ext.compileSdkVersion
Android,MOLO17/CustomizableCalendar,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MOLO17/CustomizableCalendar/build.gradle,information not found,information not found,information not found
Android,MOLO17/CustomizableCalendar,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MOLO17/CustomizableCalendar/library/build.gradle,19,26,26
Android,MOLO17/CustomizableCalendar,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MOLO17/CustomizableCalendar/sample/build.gradle,19,26,26
Android,quiqueqs/BabushkaText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/quiqueqs/BabushkaText/build.gradle,information not found,information not found,information not found
Android,quiqueqs/BabushkaText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/quiqueqs/BabushkaText/app/build.gradle,11,21,21
Android,quiqueqs/BabushkaText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/quiqueqs/BabushkaText/babushkatext/build.gradle,11,21,21
Android,Beseting/PhotoBrowse,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Beseting/PhotoBrowse/build.gradle,information not found,information not found,information not found
Android,Beseting/PhotoBrowse,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Beseting/PhotoBrowse/photo-browse/build.gradle,14,28,28
Android,Beseting/PhotoBrowse,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Beseting/PhotoBrowse/app/build.gradle,14,28,28
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/build.gradle,information not found,information not found,information not found
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/demo/build.gradle,8,23,23
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/init/build.gradle,8,23,23
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/init-java/build.gradle,information not found,information not found,information not found
Android,47deg/appsly-android-rest,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/47deg/appsly-android-rest/build.gradle,information not found,information not found,information not found
Android,47deg/appsly-android-rest,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/47deg/appsly-android-rest/android-rest-example/build.gradle,9,21,21
